FlowId,Environment,FlowType,FlowDirectionType,QueueName,QueueManagerName,UseSSL,ApplicationName
net.apmoller.smq.feed.dert.DERT_AMPS_ENTERPRISE_Outbound_RQ1103_Feed, PP, Feed, Source, IIB.AMPS.EDI.ENTERPRISE.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.DERT_AMPS_ENTERPRISE_Outbound_RQ1103_Feed, PP, Feed, Destination, SMQ.AMPS.ENTERPRISE.EVENT,EDIPP,FALSE,        AMPS
net.apmoller.smq.feed.dert.DERT_AMPS_ENTERPRISE_Outbound_RQ1104_Feed, PP, Feed, Source, IIB.AMPS.EDI.ENTERPRISE.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.feed.dert.DERT_AMPS_ENTERPRISE_Outbound_RQ1104_Feed, PP, Feed, Destination, SMQ.AMPS.ENTERPRISE.EVENT,EDIPP,FALSE,        AMPS
net.apmoller.smq.feed.dert.DERT_FACT_IDD256_RQ1103_Outbound_Feed, PP, Feed, Source, IIB.DERT.FACT.IDD256.CREATESO.FEED.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.DERT_FACT_IDD256_RQ1103_Outbound_Feed, PP, Feed, Destination, SMQ.DERT.FACT.IDD256.CREATESO.EVENT,FADAQM,TRUE,        FACT 
net.apmoller.smq.feed.dert.DERT_FACT_IDD256_RQ1104_Outbound_Feed, PP, Feed, Source, IIB.DERT.FACT.IDD256.CREATESO.FEED.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.feed.dert.DERT_FACT_IDD256_RQ1104_Outbound_Feed, PP, Feed, Destination, SMQ.DERT.FACT.IDD256.CREATESO.EVENT,FADAQM,FALSE,        FACT 
net.apmoller.smq.feed.dert.DERT_FACT_IDD260_RQ1103_Outbound_Feed, PP, Feed, Source, IIB.DERT.FACT.IDD260.CANCELSO.FEED.RCV,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.DERT_FACT_IDD260_RQ1103_Outbound_Feed, PP, Feed, Destination, SMQ.DERT.FACT.IDD260.CANCELSO.EVENT,FADAQM,FALSE,        FACT 
net.apmoller.smq.feed.dert.DERT_FACT_IDD260_RQ1104_Outbound_Feed, PP, Feed, Source, IIB.DERT.FACT.IDD260.CANCELSO.FEED.RCV,RQ1104,TRUE,        DERT
net.apmoller.smq.feed.dert.DERT_FACT_IDD260_RQ1104_Outbound_Feed, PP, Feed, Destination, SMQ.DERT.FACT.IDD260.CANCELSO.EVENT,FADAQM,FALSE,        FACT 
net.apmoller.smq.feed.dert.FACT_DERT_IDD259_RQ1103_Inbound_Feed, PP, Feed, Source, IIB.FACT.DERT.IDD259.INVACK.FEED.RCV,FADAQM,FALSE,        FACT 
net.apmoller.smq.feed.dert.FACT_DERT_IDD259_RQ1103_Inbound_Feed, PP, Feed, Destination, IIB.FACT.DERT.IDD259.INVACK.FEED.EVENT,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.FACT_DERT_IDD259_RQ1104_Inbound_Feed, PP, Feed, Source, IIB.FACT.DERT.IDD259.INVACK.FEED.RCV,FADAQM,FALSE,        FACT 
net.apmoller.smq.feed.dert.FACT_DERT_IDD259_RQ1104_Inbound_Feed, PP, Feed, Destination, IIB.FACT.DERT.IDD259.INVACK.FEED.EVENT,RQ1104,TRUE,        DERT
net.apmoller.smq.feed.dert.FACT_DERT_IDD263_RQ1103_Inbound_Feed, PP, Feed, Source, IIB.FACT.DERT.IDD263.PAYM.FEED.RCV,FADAQM,FALSE,        FACT 
net.apmoller.smq.feed.dert.FACT_DERT_IDD263_RQ1103_Inbound_Feed, PP, Feed, Destination, IIB.FACT.DERT.IDD263.PAYM.FEED.EVENT,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.FACT_DERT_IDD263_RQ1104_Inbound_Feed, PP, Feed, Source, IIB.FACT.DERT.IDD263.PAYM.FEED.RCV,FADAQM,FALSE,        FACT 
net.apmoller.smq.feed.dert.FACT_DERT_IDD263_RQ1104_Inbound_Feed, PP, Feed, Destination, IIB.FACT.DERT.IDD263.PAYM.FEED.EVENT,RQ1104,TRUE,        DERT
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQDB_RQ1103_Inbound_Feed, PP, Feed, Source, SMQ.INLC.DERT.FEED.RCV,IQDB,FALSE,        INLC
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQDB_RQ1103_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CURRENCY.DATA.EVENT,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQDB_RQ1104_Inbound_Feed, PP, Feed, Source, SMQ.INLC.DERT.FEED.RCV,IQDB,FALSE,        INLC
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQDB_RQ1104_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CURRENCY.DATA.EVENT,RQ1104,TRUE,        DERT
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQMD_RQ1103_Inbound_Feed, PP, Feed, Source, SMQ.INLC.DERT.FEED.RCV,IQMD,FALSE,        INLC
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQMD_RQ1103_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CURRENCY.DATA.EVENT,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQMD_RQ1104_Inbound_Feed, PP, Feed, Source, SMQ.INLC.DERT.FEED.RCV,IQMD,FALSE,        INLC
net.apmoller.smq.feed.dert.INLC_DERT_CURRENCY_DATA_IQMD_RQ1104_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CURRENCY.DATA.EVENT,RQ1104,TRUE,        DERT
net.apmoller.smq.feed.dert.RKEM_DERT_CONT_DATA_RQ1103_Inbound_Feed, PP, Feed, Source, SMQ.RKEM.DERT.FEED.RCV,IQMD,FALSE,        RKEM
net.apmoller.smq.feed.dert.RKEM_DERT_CONT_DATA_RQ1103_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CONT.DATA.EVENT,RQ1103,TRUE,        DERT
net.apmoller.smq.feed.dert.RKEM_DERT_CONT_DATA_RQ1104_Inbound_Feed, PP, Feed, Source, SMQ.RKEM.DERT.FEED.RCV,IQMD,FALSE,        RKEM
net.apmoller.smq.feed.dert.RKEM_DERT_CONT_DATA_RQ1104_Inbound_Feed, PP, Feed, Destination, IIB.DERT.CONT.DATA.EVENT,RQ1104,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_Reply, PP, Reply, Destination, ,*DERT,TRUE,        DERT
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_Reply, PP, Reply, Source, SMQ.DERT.SHIP.HAULAGE.INFO.REPLY.RCV,IQMD,FALSE,        CDS
net.apmoller.smq.rr.db.dert.DERT_CDS_SHIP_HAULAGE_INFO_DB_RQ1103_Request, PP, Request, Source, IIB.DERT.SHIP.HAULAGE.INFO.REQ.RCV,RQ1103,TRUE,        DERT
